Times_Ab,Name
Ky.,Kentucky
N.C.,North Carolina
N.Y.,New York
Mo.,Missouri
Ga.,Georgia
Fla.,Florida
Calif.,California
N.M.,New Mexico
N.J.,New Jersey
Ind.,Indiana
Ill.,Illinois
Miss.,Mississippi
Tenn.,Tennessee
Mass.,Massachusetts
Ark.,Arkansas
La.,Louisiana
Wis.,Wisconsin
Ore.,Oregon
Md.,Maryland
Texas,Texas
Pa.,Pennsylvania
Maine,Maine
Idaho,Idaho
Mont.,Montana
Vt.,Vermont
Mich.,Michigan
Iowa,Iowa
Nev.,Nevada
Va.,Virginia
Alaska,Alaska
Neb.,Nebraska
Minn.,Minnesota
Ariz.,Arizona
Ala.,Alaska
S.D.,South Dakota
Utah,Utah
Ohio,Ohio
Hawaii,Hawaii
Okla.,Oklahoma
R.I.,Rhode Island
W.Va.,West Virginia
Conn.,Connecticut
Wash.,Washington
N.H.,New Hampshire
Kan.,Kansas
Colo.,Colorado
S.C.,South Carolina
D.C.,District of Columbia
Del.,Delaware
N.D.,North Dakota
Wyo.,Wyoming
